,product_names,prices,product_desc,ratings,total_ratings,links,asin
0,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green : Cell Phones & Accessories","$1,199.99","About this item
CAPTURE THE NIGHT IN LOW LIGHT: Whether you’re headed to a concert or romantic night out, there’s no such thing as bad lighting with Night Mode; Galaxy S23 Ultra lets you capture epic content in any setting with stunning Nightography
HIGHEST PHONE CAMERA RESOLUTION: Create crystal-clear content worth sharing with Galaxy S23 Ultra’s 200MP camera — the highest camera resolution on a phone; Whether you’re posting or printing, Galaxy S23 Ultra always does the moment justice
STUNNINGLY SMOOTH VIDEO: Capture incredibly smooth video during life’s most exciting moments; With Video Stabilization, this smartphone easily records daytime outdoor adventures or those spur-of-the-moment dance parties at night
WRITE, DRAW, CREATE w/ S PEN: Whether you’re in Samsung Note, Microsoft Office or Google Suite, with the built-in S Pen, you can convert handwriting to text, share your creations live and keep everything on your Galaxy S23 Ultra device
SNAP PICS w/ S PEN: Capture epic selfies and beautiful photos with the click of your S Pen; Simply open up the camera app and click the button on the S Pen instead of the screen; Getting that great shot just got easier
FASTEST MOBILE PROCESSOR AVAILABLE: Whether you’re working hard, playing hard or doing both at the same time, smoothly switch between apps with our fastest processor ever
UNLOCK SMOOTH GAMING: Game at full throttle and smoothly switch between apps; Get more done with our fastest processor ever combined with massive internal storage; And if you’re on the move, keep going with a screen that adapts to your environment
Show more",4.6 out of 5,193 ratings,https://www.amazon.com/SAMSUNG-Factory-Unlocked-Android-Smartphone/dp/B0BLP3ZZXT/ref=sr_1_12?keywords=iphone&qid=1689513476&sr=8-12,B0BLP3ZZXT
1,"iPhone 13 Pro Max, 128GB, Gold - Unlocked (Renewed Premium) : Cell Phones & Accessories",$917.33,"About this item
Unlocked
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by the same one-year satisfaction guarantee as brand new Apple products.",4.1 out of 5,821 ratings,https://www.amazon.com/iPhone-Pro-Max-128GB-Gold/dp/B0BGYDDWDF/ref=sr_1_4?keywords=iphone&qid=1689513476&sr=8-4,B0BGYDDWDF
2,"Apple iPhone SE (2nd Generation), US Version, 128GB, Black - Unlocked (Renewed) : Cell Phones & Accessories",$278.63,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Please check with your carrier to verify compatibility.
When you receive the phone, insert a SIM card from a compatible carrier. Then, turn it on, connect to Wi-Fi, and follow the on screen prompts to activate service.
The device does not come with headphones or a SIM card. It does include a generic (Mfi certified) charger and charging cable.
Tested for battery health and guaranteed to have a minimum battery capacity of 80%.",4.3 out of 5,"11,926 ratings",https://www.amazon.com/Apple-iPhone-SE-128GB-Black/dp/B088NMH5KL/ref=sr_1_6?keywords=iphone&qid=1689513476&sr=8-6,B088NMH5KL
3,"Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed) : Cell Phones & Accessories",$415.00,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to have a minimum battery capacity of 80%.
Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
The device does not come with headphones or a SIM card. It does include a generic (Mfi certified) charger and charging cable.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length.",4.2 out of 5,"18,432 ratings",https://www.amazon.com/Apple-iPhone-256GB-Unlocked-Renewed/dp/B07ZQRL9XY/ref=sr_1_3?keywords=iphone&qid=1689513476&sr=8-3,B07ZQRL9XY
4,"Apple iPhone 12 Pro Max, 256GB, Graphite - Unlocked (Renewed Premium) : Cell Phones & Accessories",$750.00,"About this item
Unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Backed by a one-year satisfaction guarantee.",4.4 out of 5,"1,552 ratings",https://www.amazon.com/Apple-iPhone-12-Pro-Max/dp/B09JFS16CP/ref=sr_1_5?keywords=iphone&qid=1689513476&sr=8-5,B09JFS16CP
5,"Apple iPhone 11 Pro Max, 256GB, Gold - Fully Unlocked (Renewed Premium) : Cell Phones & Accessories",$515.00,"About this item
This phone is unlocked and compatible with any carrier of choice on GSM and CDMA networks (e.g. AT&T, T-Mobile, Sprint, Verizon, US Cellular, Cricket, Metro, Tracfone, Mint Mobile, etc.).
Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.
Backed by a one-year satisfaction guarantee, with free access to Amazon’s Technical Support team throughout the full year and ability to replace or return the product if it does not work as expected.
Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm’s length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.",4.3 out of 5,"14,401 ratings",https://www.amazon.com/Apple-iPhone-Pro-256GB-Gold/dp/B08BHHRZQG/ref=sr_1_2?keywords=iphone&qid=1689513476&sr=8-2,B08BHHRZQG
6,Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo : Cell Phones & Accessories,$94.99,"About this item
Carrier compatibility: AT and T: VoLTE, Verizon: VoLTE, T Mobile: VoLTE, WiFi Calling, Video Calling, Tracfone: GSM, Spectrum: VoLTE, WiFi Calling. Does not support: Boost: Republic Wireless, Tracfone (CDMA), Straight Talk Wireless (CDMA), Xfinity Wireless. For all carrier compatibility details - please check the product images in detail.Form_factor : smartphone.Other camera description:Front,Rear
Meet Moto G Pure and get more of what you love. An ultra-wide view of your favorite movies, games, and video chats on a 6.5 Max Vision HD plus display. Plus, a two-day battery to keep the fun going all weekend long. And there’s more. Dual camera system with Night Vision. Super-responsive processor. Water-repellent design. With Moto G Pure, more comes standard.
MediaTek Helio G25 processor. Super-responsive performance. Feel your phone respond instantly to every touch, tap, and swipe using an octa-core processor with HyperEngine.
13MP Dual Camera System. Dual camera system with Night Vision. Capture beautiful portraits with a blur effect and take incredibly vivid photos in the dark. FRONT CAMERA/ 5MP (f/2.4, 1.12um)
6.5 Max Vision HD plus display. Bring your favorite games, movies, and video chats to life on a stunning ultra-wide screen.
Two-day battery. Keep the fun going all weekend long with a 4000 mAh battery.
Water-repellent design. Keep your phone safe from accidental spills and splashes.
Show more",4 out of 5,979 ratings,https://www.amazon.com/battery-Unlocked-Motorola-Camera-Indigo/dp/B09BTB5MKT/ref=sr_1_14?keywords=iphone&qid=1689513476&sr=8-14,B09BTB5MKT
7,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal : Cell Phones & Accessories,$299.00,"About this item
Google Pixel 6a adapts to you; it’s super fast and secure and powered by Google Tensor, the first chip designed by Google just for Pixel.Form_factor : Bar.Other camera description:Front,Rear
Unlocked Android 5G phone gives you the flexibility to change carriers and choose your own data plan[1]; works with Google Fi, Verizon, T-Mobile, AT&T, and other major carriers
Pixel’s fast-charging all-day battery adapts to you and saves power for the apps you use most[2]
Take amazing photos with Pixel’s 12 megapixel camera and tools like Magic Eraser[3], Motion Mode, and Portrait Mode
With Google Tensor, your phone launches apps fast, pages and images load quickly, and everything runs smoothly
When you plug it in, Pixel 6a charges super fast[4]; with just a few minutes of charging, your phone gets hours of power (adapters sold separately)
Live Translate helps you translate live video captions, private chats, and messages, and signs in up to 55 languages right on your cell phone[5]
Show more",4.3 out of 5,"4,437 ratings",https://www.amazon.com/Google-Pixel-6a-Smartphone-Megapixel/dp/B0B3PSRHHN/ref=sr_1_10?keywords=iphone&qid=1689513476&sr=8-10,B0B3PSRHHN
8,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, 2022, Burgundy : Cell Phones & Accessories",$799.99,"About this item
8K SUPER STEADY VIDEO: Shoot videos that rival how epic your life is with stunning 8K recording, the highest recording resolution available on a smartphone; Video captured is effortlessly smooth, thanks to Auto Focus Video Stabilization on Galaxy S22 Ultra.Form_factor : Smartphone
NIGHTOGRAPHY plus PORTAIT MODE: Capture the night with crystal clear, bright pics and videos, no matter the lighting with Night Mode; Portrait Mode auto-detects and adjusts to what you want front and center, making all your photos worthy of a frame
108MP PHOTO RESOLUTION plus BRIGHT DISPLAY: Capture premium detail with 108MP resolution— the highest available on a cell phone; Your favorite content will look even more epic on our brightest display ever with Vision Booster
ADAPTIVE COLOR CONTRAST: Streaming on the go, working from your patio or binge-watching late into the night. The Galaxy S22 Ultra adaptive screen automatically optimizes color and brightness, outdoors and indoors
LONG LASTING BATTERY plus FAST CHARGING: Power every scroll, click, tap and stream all day long and then some with an intelligent, long-lasting battery; Dive back into action at a moment’s notice with 45W Super-Fast Charging
EMBEDDED S PEN: New phone, new S Pen; Now you can unleash your creativity on Galaxy S22 Ultra with an embedded S Pen; Edit photos and videos with pinpoint accuracy, and do it all with that pen-to-paper feel
PREMIUM DESIGN & CRAFTMANSHIP: With a classy, eye-catching glass-metal-glass design, we’re setting a standard for smart phones; With our strongest aluminum frame and the latest Gorilla Glass, this phone is lightweight and durable to help endure scratches and dings",4.6 out of 5,599 ratings,https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Brightest-Processor/dp/B09MVZH5RB/ref=sr_1_11?keywords=iphone&qid=1689513476&sr=8-11,B09MVZH5RB
9,"OnePlus Nord N200 | Large 5000mAh Battery | 5G Unlocked Android Smartphone U.S Version | 64GB Storage | 6.49"" Full HD+LCD Screen | 90Hz Smooth Display | Fast Charging | Triple Camera,Blue Quantum",$149.99,"About this item
5G Unlocked for T-mobile and Google Fi. 4G Compatible with T-Mobile, AT&T, Verizon and Google Fi. Powered by the latest Qualcomm 5G chipset, the OnePlus Nord N200 5G allows you to download or stream your favorite TV shows, connect with your social media, and play online multiplayer at blazing fast speeds..Other camera description:Rear,Front
6.49” Full HD+ LCD Display, 90Hz Smooth Display - Immerse yourself in all your favorite movies, TV shows, and video games with N200 5G’s 6.49” crystal clear Full HD+ display.
90Hz Smooth Display - The 90Hz refresh rate refreshes 50% faster than standard 60Hz displays, ensuring smooth navigation and scrolling across the home screen and your applications.
Large 5000mAh battery - The OnePlus Nord N200 5G is powered by a massive 5000mAh battery, providing all the power required to get you through the day. Watch hours of TV, play graphically intense games, or browse the internet non-stop without fear of your device dying.
18W Fast Charging - The N200 5G’s 18W fast charging gets you refilled and back on your feet quickly.
4GB RAM + 64GB built-in storage (expandable up to 256GB) - The OnePlus Nord N200 5G packs all the performance power and storage you’ll need to run and store your favorite content. 4GB of RAM ensures your applications and content run smoothly, making for a seamless, customizable, and enjoyable mobile experience. The 64GB of built-in storage ensures you can have all your favorite films, TV shows, games, and photos with you on the go. Need more storage? Expand it by up to 256GB with a microSD card.
13MP Triple Camera System - It’s easy to capture every moment with clarity thanks to the 13MP main camera. Take up close and personal shots with the macro lens and add some definition to your black-and-white photos with the mono lens.
Single-SIM. If your device is not receiving text messages or experiencing error when making phone calls, you need to contact carriers' technical support to add CDMALess feature. Support 2.4G/5G, WiFi 802.11 a/b/g/n/ac",4.1 out of 5,"2,096 ratings",https://www.amazon.com/OnePlus-Unlocked-Android-Smartphone-Charging/dp/B07XWGWPH5/ref=sr_1_13?keywords=iphone&qid=1689513476&sr=8-13,B07XWGWPH5
10,"Tracfone Alcatel TCL A3, 32GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$39.88,"About this item
The large 3000 mAh battery with Smart Manager optimization can easily handle your daily demands with more than 14 hours of mixed usage in a single charge. A powerful Octa-core processor provides a smooth multitasking experience.Optical sensor resolution:5 megapixels.Display Type:LCD.Form_factor : Bar
Take sharp pictures with the 8MP rear camera and record steady videos in high definition. The 5MP selfie camera with Portrait mode allows you to share stylish portraits with a blurred background effect.
3GB RAM / 32GB Internal Storage | MicroSD up to 512GB
Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network.
Unlimited Talk, Text and Data plans starting as low as dollar 20/month",4 out of 5,"1,213 ratings",https://www.amazon.com/Tracfone-Alcatel-TCL-32GB-Black/dp/B09CLN4LLN/ref=sr_1_9?keywords=iphone&qid=1689513476&sr=8-9,B09CLN4LLN
